owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
chalk,supports-color,28.7,13.8,43.7,41.1,5.4,7.1,0.0,52.0,26.6,38.2,99.7,43.5,36.7,6.2,53.5,16.125,30.0,31.825000000000003,34.975,27.64166666666667,440.5,444.5,C,C
npm,node-semver,42.2,27.1,84.7,61.2,47.4,33.8,28.4,48.8,69.2,69.5,0.8,55.8,7.6,35.5,71.2,39.6,44.3,53.8,42.525,45.30833333333334,870.0,799.5,A,B
chalk,chalk,34.5,8.0,83.4,41.0,42.1,14.3,16.5,78.7,90.6,78.3,99.4,46.5,43.5,15.9,70.0,37.9,47.0,41.725,43.975,41.199999999999996,797.0,844.5,B,A
debug-js,debug,32.5,8.6,46.5,49.6,30.6,11.2,0.0,80.2,80.9,79.7,100.0,60.2,47.0,0.0,74.3,30.5,42.2,34.3,45.375,36.725,688.0,753.5,B,B
microsoft,tslib,19.5,30.4,57.8,49.6,38.9,29.4,28.2,56.4,49.3,45.6,94.3,36.5,50.1,30.3,56.4,38.224999999999994,43.4,39.324999999999996,43.325,40.291666666666664,776.0,781.0,B,B
vercel,ms,22.8,0.0,37.2,38.6,25.1,13.2,0.0,71.1,69.3,61.6,99.9,53.5,80.5,7.7,63.2,27.35,39.8,24.65,51.224999999999994,34.40833333333333,640.0,704.0,B,B
mozilla,source-map,14.6,11.5,71.8,72.5,24.0,6.7,0.0,68.0,65.3,66.8,96.4,43.6,69.9,8.0,75.1,24.675,43.0,42.599999999999994,49.15,38.80833333333333,745.5,771.0,B,B
isaacs,node-lru-cache,32.8,23.7,54.7,87.0,32.3,19.4,9.5,52.8,69.9,66.6,26.4,48.3,46.4,22.1,38.7,28.499999999999996,39.6,49.55,38.875,38.975,748.5,694.5,B,B
chalk,strip-ansi,24.9,0.0,28.2,41.2,17.6,0.0,0.0,46.5,28.6,22.8,99.1,35.6,42.3,5.0,35.8,16.025,25.9,23.575,29.674999999999997,23.091666666666665,255.0,300.0,D,D
nodejs,readable-stream,36.1,11.4,69.3,56.0,29.0,16.9,9.6,65.4,45.9,58.2,97.9,59.7,49.7,20.8,75.1,30.225,43.9,43.2,51.325,41.583333333333336,804.0,792.5,A,B
tj,commander.js,47.5,32.5,85.9,83.3,52.7,42.0,30.3,66.2,93.5,88.4,15.9,67.2,29.4,35.9,70.2,47.800000000000004,53.8,62.3,50.675,53.59166666666666,989.0,952.0,A,A
isaacs,minimatch,37.3,15.2,41.7,86.8,40.2,15.8,9.7,66.2,63.6,58.0,99.6,43.5,74.2,19.8,29.1,32.975,43.6,45.25,41.650000000000006,39.958333333333336,766.0,787.5,B,B
isaacs,node-glob,36.6,25.9,78.3,86.8,50.8,22.1,25.4,52.8,77.0,71.2,13.5,49.4,40.4,29.9,33.4,37.775,44.3,56.900000000000006,38.275,44.31666666666667,850.0,799.5,A,B
sindresorhus,find-up,31.5,1.6,57.1,74.0,33.6,3.2,0.6,45.4,35.6,26.0,97.5,22.6,38.4,1.6,52.1,20.7,32.4,41.05,28.674999999999997,30.141666666666666,539.0,531.5,C,C
sindresorhus,escape-string-regexp,24.4,0.0,34.0,76.3,27.6,0.0,0.0,47.6,35.7,28.2,98.9,27.5,43.2,0.0,36.2,18.8,29.2,33.675,26.725,26.399999999999995,393.0,416.5,D,C
feross,safe-buffer,10.0,0.0,39.8,66.1,29.2,0.0,0.0,40.6,27.0,23.9,99.5,12.0,35.0,0.0,22.4,17.45,24.6,28.974999999999998,17.35,21.258333333333333,190.5,261.0,F,D
uuidjs,uuid,41.5,18.8,82.8,30.8,42.4,21.3,16.7,76.4,85.1,79.4,94.9,46.2,85.1,28.0,53.0,39.199999999999996,50.5,43.475,53.075,45.25,869.0,901.0,A,A
ajv-validator,ajv,42.6,21.6,87.9,22.0,44.1,16.7,2.5,75.8,83.8,78.8,96.3,44.5,47.3,15.2,54.9,34.775,44.9,43.525,40.474999999999994,39.59166666666666,760.0,811.0,B,A
yargs,yargs-parser,15.8,11.2,39.2,34.9,32.7,9.9,0.0,51.0,32.9,46.6,94.0,30.7,50.1,8.7,63.4,23.4,32.8,25.275,38.225,28.96666666666667,494.5,549.0,C,C
acornjs,acorn,34.6,16.7,7.5,22.5,50.7,27.9,27.4,72.5,79.6,78.2,96.2,36.0,42.7,26.8,78.1,44.62500000000001,44.3,20.325,45.9,36.949999999999996,698.0,799.5,B,B
yargs,yargs,29.1,28.4,74.5,35.1,48.7,22.9,23.3,76.8,80.7,81.5,94.5,50.3,43.0,26.8,78.7,42.925,49.9,41.775,49.7,44.79999999999999,859.0,891.0,A,A
jprichardson,node-fs-extra,45.3,26.5,31.2,83.1,47.3,21.6,23.2,50.3,78.5,77.7,3.1,41.8,6.3,20.8,64.5,35.6,39.5,46.525,33.349999999999994,38.49166666666667,740.0,689.0,B,B
isaacs,rimraf,37.2,24.4,35.7,86.2,43.0,21.8,14.2,69.8,71.0,63.9,98.5,45.6,68.4,20.4,17.3,37.199999999999996,44.3,45.875,37.925,40.33333333333333,778.0,799.5,B,B
estools,estraverse,17.4,0.0,12.8,54.0,31.1,0.0,0.0,55.5,44.7,47.0,94.6,35.5,48.3,0.0,54.5,21.65,30.3,21.05,34.575,25.758333333333336,368.5,459.0,D,C
sindresorhus,camelcase,32.2,16.4,39.4,76.1,33.4,14.2,19.4,51.0,37.6,39.6,95.6,31.4,36.6,16.8,56.4,29.5,37.7,41.025,35.3,35.275,658.0,653.5,B,B
sindresorhus,path-exists,32.2,0.0,43.9,75.5,26.9,0.0,0.0,37.7,18.0,15.7,97.6,19.6,40.5,0.0,42.3,16.15,28.1,37.9,25.6,26.55,398.0,377.0,D,D
isaacs,inherits,10.9,0.2,23.6,86.8,27.8,1.6,2.6,52.4,27.8,37.3,99.8,44.8,80.3,7.9,12.6,21.099999999999998,31.8,30.375,36.4,29.291666666666668,510.0,509.5,C,C
npm,node-which,20.2,25.8,65.6,61.0,39.4,30.4,26.9,31.5,25.6,25.3,28.1,47.1,15.3,32.3,44.9,32.05,34.4,43.15,34.9,36.699999999999996,687.0,582.5,B,C
sindresorhus,resolve-from,13.3,0.0,44.7,75.4,26.3,0.0,0.0,37.7,17.4,14.2,96.1,23.1,44.3,0.0,25.5,16.0,25.8,33.35,23.225,24.191666666666666,290.0,295.0,D,D
jonschlinkert,extend-shallow,9.8,0.0,25.7,81.2,26.1,0.0,0.0,32.6,11.4,12.2,86.6,20.2,37.7,0.0,7.0,14.675,21.3,29.175,16.225,20.025000000000002,163.0,174.5,F,F
json5,json5,21.3,2.2,82.6,29.8,34.2,6.5,0.0,68.8,73.0,57.0,95.7,49.7,83.9,0.0,55.0,27.375,40.7,33.975,47.150000000000006,36.166666666666664,679.5,726.5,B,B
isaacs,node-mkdirp,34.3,0.2,30.3,87.1,28.8,0.5,2.7,45.1,19.3,24.0,95.3,41.9,55.1,11.9,33.5,19.275000000000002,31.8,37.974999999999994,35.6,30.95,561.0,509.5,C,C
sindresorhus,execa,37.9,25.3,66.1,73.5,40.8,42.0,33.6,63.2,73.1,56.6,93.5,29.6,37.1,39.0,48.6,44.9,48.6,50.7,38.575,44.725,857.0,865.5,A,A
