owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
chalk,supports-color,31.8,28.7,13.8,43.7,41.1,4.2,5.4,7.1,0.0,52.0,26.6,38.2,99.7,43.5,32.1,36.7,6.2,53.5,23.0,30.0,54.9,16.85,31.825000000000003,34.975,27.883333333333336,439.0,C,444.5,C,-0.26523914982562957,C,-0.21080637687272558,C
npm,node-semver,53.8,42.2,27.1,84.7,61.2,36.5,47.4,33.8,28.4,48.8,69.2,69.5,0.8,55.8,38.1,7.6,35.5,71.2,58.4,44.3,46.4,39.0,53.8,42.525,45.10833333333333,863.5,A,799.5,B,1.2502916326662765,B,0.9238410144551766,B
chalk,chalk,41.7,34.5,8.0,83.4,41.0,24.3,42.1,14.3,16.5,78.7,90.6,78.3,99.4,46.5,43.1,43.5,15.9,70.0,64.4,47.0,89.53333333333335,40.608333333333334,41.725,43.975,42.10277777777778,813.0,A,844.5,A,0.98584971899812,B,1.1380751372933122,B
debug-js,debug,34.3,32.5,8.6,46.5,49.6,13.9,30.6,11.2,0.0,80.2,80.9,79.7,100.0,60.2,40.5,47.0,0.0,74.3,58.2,42.2,86.96666666666665,32.19166666666666,34.3,45.375,37.288888888888884,697.0,B,753.5,B,0.562302735276385,B,0.7572144744699606,B
microsoft,tslib,39.3,19.5,30.4,57.8,49.6,32.2,38.9,29.4,28.2,56.4,49.3,45.6,94.3,36.5,45.6,50.1,30.3,56.4,42.4,43.4,63.1,39.9,39.324999999999996,43.325,40.85,784.0,B,781.0,B,0.8756248547981763,B,0.8524296401757983,B
vercel,ms,24.7,22.8,0.0,37.2,38.6,12.8,25.1,13.2,0.0,71.1,69.3,61.6,99.9,53.5,50.5,80.5,7.7,63.2,47.9,39.8,77.03333333333335,28.833333333333336,24.65,51.224999999999994,34.90277777777778,640.0,B,704.0,B,0.35236225113502956,C,0.5667841430582843,B
mozilla,source-map,42.6,14.6,11.5,71.8,72.5,10.2,24.0,6.7,0.0,68.0,65.3,66.8,96.4,43.6,51.0,69.9,8.0,75.1,47.4,43.0,76.26666666666667,26.741666666666667,42.599999999999994,49.15,39.49722222222223,752.0,B,771.0,B,0.756601553544579,B,0.8206912516071857,B
isaacs,node-lru-cache,49.5,32.8,23.7,54.7,87.0,20.4,32.3,19.4,9.5,52.8,69.9,66.6,26.4,48.3,35.7,46.4,22.1,38.7,52.3,39.6,54.4,28.9,49.55,38.875,39.10833333333333,744.0,B,694.5,B,0.7223854094470346,B,0.5509149487739783,B
chalk,strip-ansi,23.6,24.9,0.0,28.2,41.2,5.9,17.6,0.0,0.0,46.5,28.6,22.8,99.1,35.6,27.7,42.3,5.0,35.8,19.1,25.9,50.20000000000001,16.950000000000003,23.575,29.674999999999997,23.400000000000002,261.0,D,300.0,D,-0.659702411064452,D,-0.5361248597010054,D
nodejs,readable-stream,43.2,36.1,11.4,69.3,56.0,18.5,29.0,16.9,9.6,65.4,45.9,58.2,97.9,59.7,48.5,49.7,20.8,75.1,40.9,43.9,67.36666666666666,30.71666666666666,43.2,51.325,41.74722222222222,802.0,A,792.5,B,0.9545663872517941,B,0.8921026258865641,B
