owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
chalk,supports-color,29.0,28.7,13.8,32.3,41.2,4.0,5.5,6.6,,52.1,26.7,38.2,99.8,43.5,34.0,42.8,6.2,53.2,23.0
npm,node-semver,53.9,42.3,27.1,84.8,61.3,37.6,48.3,33.9,30.5,48.8,69.3,69.6,0.3,55.8,38.2,7.3,36.5,70.9,58.8
chalk,chalk,41.7,35.9,8.4,81.1,41.4,25.0,42.4,15.1,17.5,78.8,90.7,78.4,99.5,46.6,43.2,43.0,16.4,70.1,64.7
debug-js,debug,33.1,32.0,8.4,42.9,49.0,13.9,30.6,11.2,,80.3,81.0,79.8,100.1,60.2,40.5,47.0,,74.5,58.2
microsoft,tslib,37.8,19.6,30.5,49.3,51.9,31.4,36.5,29.5,28.1,56.5,49.3,45.6,94.4,36.5,45.3,49.5,30.2,56.1,42.1
vercel,ms,24.9,22.9,,38.2,38.5,12.7,25.2,12.9,,71.2,69.4,61.7,100.0,53.6,50.8,80.6,7.7,64.0,47.9
mozilla,source-map,43.2,14.3,11.7,71.9,74.8,9.7,24.1,5.2,,68.1,65.4,66.9,96.5,43.7,51.2,70.1,8.0,75.5,47.3
isaacs,node-lru-cache,48.6,32.3,23.7,51.6,87.0,20.7,32.5,20.1,9.3,52.9,70.0,66.7,26.5,48.4,35.8,46.9,22.0,38.5,52.5
chalk,strip-ansi,23.2,24.6,,26.7,41.4,5.9,17.6,,,46.6,28.6,22.8,99.2,35.6,27.9,44.5,5.0,34.1,19.1
nodejs,readable-stream,42.9,36.2,11.8,67.6,56.2,18.7,29.0,17.7,9.4,65.5,45.9,58.2,98.0,59.8,49.3,51.6,20.6,75.8,40.9
tj,commander.js,62.8,48.5,32.6,86.6,83.3,40.8,52.0,42.0,28.2,66.4,93.6,88.5,16.3,67.2,45.8,31.1,34.8,71.5,74.3
isaacs,minimatch,44.4,36.4,15.3,39.6,86.4,21.7,40.2,15.4,9.5,66.2,63.6,58.1,99.7,43.5,41.0,74.1,19.7,29.3,47.8
isaacs,node-glob,56.9,37.6,25.9,77.4,86.8,31.7,49.8,23.2,22.1,52.3,77.1,71.3,11.5,49.5,33.9,40.2,28.2,33.4,60.0
sindresorhus,find-up,41.4,31.5,1.6,56.8,75.5,16.4,36.6,3.3,9.2,45.4,35.5,26.0,97.6,22.6,32.6,39.4,5.9,52.4,26.0
sindresorhus,escape-string-regexp,33.0,24.6,,31.8,75.5,9.2,27.6,,,47.6,35.7,28.0,99.0,27.6,26.5,43.1,,36.3,24.3
feross,safe-buffer,28.6,10.3,,37.9,66.2,9.6,28.9,,,40.6,27.0,23.9,99.6,12.1,18.6,34.1,,21.6,20.2
uuidjs,uuid,43.1,40.3,18.8,82.3,30.8,27.3,43.3,21.2,17.4,76.5,85.2,79.5,95.0,46.2,55.6,85.1,28.4,53.2,64.0
ajv-validator,ajv,43.6,42.1,21.7,88.6,21.9,21.3,44.2,17.0,2.7,75.9,83.9,78.9,96.4,44.5,38.7,46.1,15.3,54.7,61.4
yargs,yargs-parser,25.0,15.7,11.2,38.1,35.0,14.1,32.5,9.8,,51.1,32.9,46.5,94.1,30.8,43.7,58.1,8.7,64.3,31.2
acornjs,acorn,20.2,33.6,16.6,8.0,22.9,34.9,50.4,28.0,26.3,72.6,79.7,78.3,96.3,36.0,49.1,42.4,26.2,78.5,64.3
yargs,yargs,42.0,29.5,28.4,74.6,35.4,31.6,48.7,23.0,23.2,76.8,80.8,81.6,94.6,50.3,49.2,42.4,26.7,78.6,64.7
jprichardson,node-fs-extra,45.9,44.1,26.6,29.5,83.3,31.7,48.1,21.9,25.2,51.8,78.6,77.8,9.1,41.8,35.7,19.7,21.8,65.5,62.7
isaacs,rimraf,45.7,37.0,24.6,34.3,86.8,26.5,43.5,21.8,14.3,69.8,71.1,64.0,98.6,45.7,35.7,68.9,20.5,17.8,53.9
estools,estraverse,21.3,17.4,,13.8,54.2,10.4,31.3,,,55.5,44.7,46.9,94.7,35.5,36.6,55.3,,54.5,34.0
sindresorhus,camelcase,39.8,32.1,16.2,37.0,74.0,22.6,33.5,14.6,19.5,51.1,37.6,39.6,95.7,31.4,39.3,44.7,16.8,56.3,33.3
sindresorhus,path-exists,36.6,32.1,,40.7,73.7,9.0,27.0,,,37.7,18.0,15.5,97.7,19.7,29.9,48.5,,41.1,14.2
isaacs,inherits,30.1,10.6,0.6,22.8,86.5,11.2,27.9,3.0,2.8,52.5,27.8,37.4,99.9,44.9,33.6,80.4,8.0,12.4,25.5
npm,node-which,43.4,20.2,25.9,66.5,60.8,32.1,39.3,30.5,26.6,31.6,25.7,25.3,28.2,47.1,33.8,22.8,32.2,46.6,27.7
sindresorhus,resolve-from,33.1,13.7,,45.0,73.8,8.8,26.3,,,37.8,17.4,14.2,96.2,23.2,26.2,50.2,,28.3,13.5
jonschlinkert,extend-shallow,28.4,9.8,,22.7,81.2,8.7,26.2,,,32.7,11.4,12.5,86.7,20.2,16.9,43.3,,7.3,10.9
json5,json5,33.7,21.2,2.2,81.2,30.0,13.3,34.3,5.7,,68.9,73.1,57.1,95.8,49.8,45.9,84.0,,53.6,47.8
isaacs,node-mkdirp,38.4,36.9,0.1,29.6,87.1,10.6,28.7,0.1,2.9,45.0,19.3,23.5,95.4,42.0,33.5,52.8,12.0,35.7,17.8
sindresorhus,execa,53.9,37.0,25.2,79.0,74.2,38.7,40.8,42.0,33.2,63.3,73.2,56.6,93.6,29.6,43.2,42.1,38.8,48.6,56.2
