owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
chalk,supports-color,28.6,13.8,41.8,41.1,6.6,7.1,0.0,52.0,26.7,38.3,99.7,43.5,36.8,6.2,53.3,16.425,30.0,31.325000000000003,34.95,27.566666666666666,435.5,445.5,C,C
npm,node-semver,41.8,27.0,85.0,61.1,46.0,33.8,28.3,49.2,69.2,69.6,2.1,55.8,8.0,35.5,71.2,39.325,44.3,53.725,42.625,45.225,868.0,803.0,A,A
chalk,chalk,35.8,7.6,83.5,41.1,40.5,13.9,16.4,78.7,90.6,78.3,99.4,46.5,43.6,15.8,70.0,37.37500000000001,46.9,42.0,43.975,41.11666666666667,798.0,843.0,B,A
debug-js,debug,32.4,8.2,46.4,49.4,34.5,11.8,0.0,80.2,80.9,79.8,100.0,60.2,47.1,0.0,74.0,31.625,42.5,34.1,45.325,37.016666666666666,701.0,758.5,B,B
microsoft,tslib,19.5,30.3,57.7,49.8,40.3,29.2,30.2,56.4,49.4,45.6,94.3,36.5,50.1,31.3,56.0,39.025,43.7,39.325,43.475,40.60833333333333,787.0,791.5,B,B
vercel,ms,22.9,0.0,39.1,38.6,25.5,12.8,0.0,71.1,69.3,61.6,99.9,53.5,80.5,7.7,63.1,27.349999999999998,39.9,25.15,51.199999999999996,34.56666666666666,646.0,707.5,B,B
mozilla,source-map,14.1,11.4,71.8,72.5,23.0,6.7,0.0,68.0,65.3,66.8,96.4,43.6,69.9,8.0,75.0,24.425,42.8,42.45,49.125,38.666666666666664,745.0,766.5,B,B
isaacs,node-lru-cache,32.3,23.7,54.7,86.7,32.3,19.3,9.5,52.8,69.9,66.6,26.4,48.3,46.4,22.1,38.7,28.474999999999998,39.6,49.35,38.875,38.9,747.0,693.5,B,B
chalk,strip-ansi,24.5,0.0,28.2,40.9,17.6,0.0,0.0,46.6,28.7,23.0,99.1,35.6,42.4,5.0,35.4,16.05,25.9,23.4,29.6,23.01666666666667,250.0,297.0,D,D
nodejs,readable-stream,36.0,11.3,69.2,55.9,29.0,16.4,9.6,65.5,46.0,58.2,97.9,59.7,49.7,20.8,75.0,30.125,43.9,43.1,51.3,41.50833333333333,804.5,794.0,A,B
tj,commander.js,47.5,32.4,85.9,83.3,52.5,41.8,28.2,66.3,93.5,88.4,16.0,67.2,29.4,34.8,70.2,47.199999999999996,53.6,62.275000000000006,50.39999999999999,53.291666666666664,987.0,951.5,A,A
isaacs,minimatch,37.3,15.1,41.7,86.5,41.3,16.3,9.7,66.2,63.7,57.9,99.6,43.5,74.2,19.8,29.1,33.375,43.7,45.15,41.650000000000006,40.05833333333334,772.0,791.5,B,B
isaacs,node-glob,36.6,25.8,78.3,86.3,50.2,21.7,22.1,53.2,77.0,71.2,15.2,49.4,41.0,28.2,33.3,36.800000000000004,43.9,56.75,37.975,43.84166666666667,845.0,794.0,A,B
sindresorhus,find-up,31.5,1.6,57.2,73.8,34.1,3.2,2.3,45.5,35.6,26.1,97.5,22.6,38.5,2.5,51.1,21.275000000000002,32.6,41.025,28.674999999999997,30.325,549.0,538.5,C,C
sindresorhus,escape-string-regexp,24.4,0.0,34.0,75.3,27.6,0.0,0.0,47.6,35.8,28.2,98.9,27.5,43.2,0.0,37.0,18.8,29.2,33.425,26.925,26.38333333333333,393.0,416.0,D,C
feross,safe-buffer,10.2,0.0,39.8,66.0,28.5,0.0,0.0,40.7,27.1,24.1,99.5,12.0,35.0,0.0,23.4,17.3,24.7,29.0,17.6,21.3,191.5,262.0,F,D
uuidjs,uuid,40.1,18.8,82.8,30.4,43.2,21.1,17.1,76.4,85.1,79.4,94.9,46.2,85.1,28.2,53.0,39.449999999999996,50.5,43.025000000000006,53.125,45.199999999999996,867.0,900.5,A,A
ajv-validator,ajv,42.3,21.6,88.0,22.0,44.6,16.4,2.4,75.8,83.8,78.8,96.3,44.5,47.4,15.1,54.9,34.8,44.9,43.475,40.474999999999994,39.583333333333336,759.5,814.0,B,A
yargs,yargs-parser,15.4,11.2,39.2,34.9,32.3,10.4,0.0,51.1,33.0,46.6,94.0,30.7,50.1,8.7,63.5,23.45,32.8,25.174999999999997,38.25,28.958333333333332,495.0,548.0,C,C
acornjs,acorn,33.5,16.6,7.5,22.5,50.7,27.9,27.1,72.5,79.6,78.2,96.2,36.0,42.8,26.6,78.0,44.550000000000004,44.2,20.025,45.85,36.80833333333334,697.0,800.0,B,A
yargs,yargs,29.1,28.3,75.3,35.0,49.1,22.9,24.2,76.8,80.7,81.5,94.5,50.3,43.0,27.2,78.6,43.24999999999999,50.1,41.925000000000004,49.77499999999999,44.98333333333333,863.0,893.0,A,A
jprichardson,node-fs-extra,44.1,26.4,31.2,83.2,47.6,21.7,24.1,50.4,78.5,77.7,3.6,41.8,6.5,21.2,64.5,35.949999999999996,39.6,46.224999999999994,33.5,38.55833333333333,741.0,693.5,B,B
isaacs,rimraf,36.0,24.4,35.0,86.4,43.2,22.3,14.1,69.8,71.0,63.9,98.5,45.6,68.4,20.4,17.4,37.35,44.3,45.45,37.95,40.25000000000001,774.0,803.0,B,A
