owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
chalk,supports-color,31.3,28.6,13.8,41.8,41.1,4.6,6.6,7.1,0.0,52.0,26.7,38.3,99.7,43.5,32.1,36.8,6.2,53.3,23.2,30.0,54.9,17.15,31.325000000000003,34.95,27.808333333333337,435.0,C,445.5,C,-0.2648120795753331,C,-0.2088022257278649,C
npm,node-semver,53.7,41.8,27.0,85.0,61.1,36.0,46.0,33.8,28.3,49.2,69.2,69.6,2.1,55.8,38.2,8.0,35.5,71.2,58.3,44.3,46.96666666666667,38.766666666666666,53.725,42.625,45.03888888888889,853.0,A,803.0,A,1.2258961889667932,B,0.9246570719635384,B
chalk,chalk,42.0,35.8,7.6,83.5,41.1,23.6,40.5,13.9,16.4,78.7,90.6,78.3,99.4,46.5,43.1,43.6,15.8,70.0,64.2,46.9,89.43333333333332,40.05833333333333,42.0,43.975,42.01111111111111,808.0,A,843.0,A,0.9639468075850556,B,1.1307405806347028,B
debug-js,debug,34.1,32.4,8.2,46.4,49.4,15.4,34.5,11.8,0.0,80.2,80.9,79.8,100.0,60.2,40.3,47.1,0.0,74.0,58.7,42.5,86.89999999999999,33.3,34.1,45.325,37.575,703.0,B,758.5,B,0.5801549157808036,B,0.7819838736527326,B
microsoft,tslib,39.3,19.5,30.3,57.7,49.8,33.3,40.3,29.2,30.2,56.4,49.4,45.6,94.3,36.5,45.8,50.1,31.3,56.0,42.8,43.7,63.1,40.699999999999996,39.325,43.475,41.166666666666664,790.0,B,791.5,B,0.8908893654382221,B,0.8770993391932701,B
vercel,ms,25.2,22.9,0.0,39.1,38.6,12.8,25.5,12.8,0.0,71.1,69.3,61.6,99.9,53.5,50.4,80.5,7.7,63.1,47.9,39.9,76.93333333333334,28.808333333333334,25.15,51.199999999999996,35.05277777777778,643.0,B,707.5,B,0.3619438714738146,C,0.5759003649815682,B
mozilla,source-map,42.5,14.1,11.4,71.8,72.5,9.9,23.0,6.7,0.0,68.0,65.3,66.8,96.4,43.6,51.0,69.9,8.0,75.0,47.3,42.8,76.16666666666667,26.46666666666667,42.45,49.125,39.34722222222222,747.0,B,766.5,B,0.7334794160758019,B,0.8057627400378666,B
isaacs,node-lru-cache,49.3,32.3,23.7,54.7,86.7,20.4,32.3,19.3,9.5,52.8,69.9,66.6,26.4,48.3,35.7,46.4,22.1,38.7,52.3,39.6,54.300000000000004,28.85,49.35,38.875,39.025,740.0,B,693.5,B,0.7056022342039839,B,0.5521214985964341,B
chalk,strip-ansi,23.4,24.5,0.0,28.2,40.9,5.9,17.6,0.0,0.0,46.6,28.7,23.0,99.1,35.6,27.6,42.4,5.0,35.4,19.2,25.9,50.26666666666667,16.96666666666667,23.4,29.6,23.322222222222223,255.0,D,297.0,D,-0.6529297409803848,D,-0.533780066324701,D
nodejs,readable-stream,43.1,36.0,11.3,69.2,55.9,18.4,29.0,16.4,9.6,65.5,46.0,58.2,97.9,59.7,48.5,49.7,20.8,75.0,40.9,43.9,67.36666666666667,30.59166666666667,43.1,51.3,41.663888888888884,799.0,B,794.0,B,0.9339067409128374,B,0.8929519167833594,B
tj,commander.js,62.3,47.5,32.4,85.9,83.3,40.9,52.5,41.8,28.2,66.3,93.5,88.4,16.0,67.2,44.8,29.4,34.8,70.2,74.2,53.6,65.96666666666667,47.11666666666666,62.275000000000006,50.39999999999999,53.263888888888886,983.0,A,951.5,A,1.9374852882982834,A,1.6618019299027031,A
isaacs,minimatch,45.1,37.3,15.1,41.7,86.5,22.4,41.3,16.3,9.7,66.2,63.7,57.9,99.6,43.5,41.1,74.2,19.8,29.1,48.0,43.7,73.73333333333333,35.258333333333326,45.15,41.650000000000006,40.68611111111111,777.0,B,791.5,B,0.849313913163873,B,0.8770993391932701,B
isaacs,node-glob,56.8,36.6,25.8,78.3,86.3,31.3,50.2,21.7,22.1,53.2,77.0,71.2,15.2,49.4,34.2,41.0,28.2,33.3,59.8,43.9,54.46666666666666,37.11666666666667,56.75,37.975,43.94722222222222,839.0,A,794.0,B,1.131450219349341,B,0.8929519167833594,B
sindresorhus,find-up,41.0,31.5,1.6,57.2,73.8,13.2,34.1,3.2,2.3,45.5,35.6,26.1,97.5,22.6,30.7,38.5,2.5,51.1,25.0,32.6,53.06666666666666,23.166666666666668,41.025,28.674999999999997,30.955555555555552,556.0,C,538.5,C,0.007471084741646666,C,-0.0027187170567005,C
sindresorhus,escape-string-regexp,33.4,24.4,0.0,34.0,75.3,9.2,27.6,0.0,0.0,47.6,35.8,28.2,98.9,27.5,26.8,43.2,0.0,37.0,24.4,29.2,54.300000000000004,20.475,33.425,26.925,26.941666666666666,400.0,C,416.0,C,-0.3397920859891886,C,-0.27221253608822316,C
feross,safe-buffer,29.0,10.2,0.0,39.8,66.0,9.5,28.5,0.0,0.0,40.7,27.1,24.1,99.5,12.0,19.5,35.0,0.0,23.4,20.2,24.7,50.23333333333333,19.68333333333333,29.0,17.6,22.094444444444445,214.0,D,262.0,D,-0.7591514167333463,D,-0.6288955318652383,D
