owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
chalk,supports-color,733,617,4,N/A,N/A,N/A,397,449,327,18,N/A,491,431,699,578,829,326,906,987,385,97,773,392,367,369,N/A,390,N/A,84,2,998,491
npm,node-semver,308,304,980,996,922,N/A,136,116,91,218,164,109,99,102,211,144,611,837,942,82,255,256,88,425,149,162,95,206,149,10,319,109
chalk,chalk,94,217,7,988,138,N/A,388,363,279,406,395,432,159,137,162,830,327,760,926,355,99,438,393,305,192,281,322,377,129,12,320,432
debug-js,debug,191,202,1,989,554,N/A,450,140,324,389,272,305,435,985,149,980,10,647,940,N/A,44,413,170,255,199,N/A,296,N/A,312,399,330,305
microsoft,tslib,506,544,58,990,166,92,260,326,170,117,47,389,323,776,131,47,935,501,939,184,274,542,654,246,305,143,180,212,298,269,352,389
vercel,ms,307,384,2,991,712,N/A,334,266,N/A,N/A,N/A,440,329,999,461,268,937,236,346,354,162,513,205,353,325,N/A,276,N/A,413,N/A,475,440
mozilla,source-map,347,332,37,992,564,N/A,N/A,490,443,26,390,706,319,82,407,49,478,469,398,348,132,304,127,N/A,401,N/A,398,N/A,503,374,474,706
isaacs,node-lru-cache,301,334,737,994,163,N/A,361,374,280,195,111,951,372,937,12,109,135,428,444,161,627,535,34,N/A,217,350,363,228,139,14,473,951
chalk,strip-ansi,713,770,10,993,571,N/A,N/A,N/A,N/A,N/A,N/A,827,432,952,732,831,328,767,950,408,448,780,439,478,N/A,N/A,N/A,N/A,N/A,N/A,472,827
nodejs,readable-stream,540,418,22,995,901,N/A,369,227,281,350,389,354,160,145,580,214,646,539,949,189,295,140,248,187,318,349,362,286,278,179,471,354
tj,commander.js,65,116,841,901,91,59,84,277,48,183,140,381,146,211,27,166,146,329,948,94,323,209,139,147,103,163,48,92,97,25,168,381
isaacs,minimatch,363,421,5,891,504,N/A,314,348,321,390,112,946,715,951,46,110,139,390,378,209,693,660,131,N/A,255,348,317,334,235,394,167,946
isaacs,node-glob,230,288,849,894,518,N/A,320,369,318,168,75,933,371,208,34,111,140,476,445,164,805,465,12,N/A,114,224,377,166,109,24,166,933
sindresorhus,find-up,644,739,26,893,534,N/A,329,330,N/A,N/A,N/A,544,145,950,151,53,450,873,945,482,117,797,714,463,400,422,N/A,380,202,N/A,165,544
sindresorhus,escape-string-regexp,642,718,12,895,539,N/A,N/A,N/A,N/A,N/A,N/A,713,139,949,854,22,449,747,944,N/A,498,697,541,537,N/A,N/A,N/A,N/A,N/A,N/A,172,713
feross,safe-buffer,729,759,6,892,543,N/A,449,483,N/A,N/A,N/A,698,714,948,107,267,390,1000,943,N/A,621,847,760,N/A,538,N/A,N/A,N/A,1,N/A,171,698
uuidjs,uuid,149,206,52,896,545,N/A,202,335,207,221,248,303,196,221,60,974,397,105,291,114,580,295,76,N/A,270,274,221,333,6,327,170,303
ajv-validator,ajv,162,212,38,898,890,N/A,51,74,322,65,76,119,19,17,287,828,711,584,957,229,684,155,666,73,80,421,216,434,350,444,169,119
yargs,yargs-parser,670,534,61,897,204,N/A,352,381,442,9,N/A,146,770,947,70,866,414,480,956,334,161,506,766,249,404,N/A,323,N/A,200,432,192,146
acornjs,acorn,204,218,39,899,146,N/A,370,368,256,403,282,712,938,946,852,820,707,723,955,246,133,242,281,N/A,123,174,266,154,99,326,191,712
yargs,yargs,193,185,56,900,116,49,116,313,206,24,67,49,320,119,264,865,413,701,954,206,160,204,428,195,144,203,188,331,201,356,190,49
jprichardson,node-fs-extra,215,223,965,902,N/A,N/A,68,351,230,125,66,217,713,945,367,248,67,886,953,324,435,212,165,N/A,180,204,261,282,122,182,198,217
isaacs,rimraf,290,361,16,903,468,N/A,325,339,307,146,93,973,712,960,241,106,143,482,449,242,870,718,87,N/A,215,304,294,237,217,357,193,973
estools,estraverse,552,529,55,904,469,N/A,312,301,N/A,N/A,N/A,848,769,959,851,843,53,544,951,N/A,199,649,290,N/A,457,N/A,N/A,N/A,3,N/A,194,848
sindresorhus,camelcase,623,602,45,907,484,N/A,N/A,N/A,306,248,245,717,105,943,731,34,451,867,989,367,30,796,590,412,N/A,273,388,312,N/A,181,195,717
sindresorhus,path-exists,819,840,25,906,491,N/A,N/A,N/A,N/A,N/A,N/A,716,106,958,644,33,454,771,988,N/A,384,715,657,579,N/A,N/A,N/A,N/A,N/A,N/A,196,716
isaacs,inherits,721,625,3,905,497,N/A,N/A,N/A,N/A,N/A,N/A,947,375,957,923,100,136,283,305,376,804,875,104,N/A,N/A,420,511,435,N/A,N/A,197,947
npm,node-which,742,746,720,912,N/A,N/A,N/A,N/A,145,225,143,166,72,116,806,151,605,835,986,131,496,553,138,550,456,176,152,217,556,218,258,166
sindresorhus,resolve-from,825,857,40,910,772,N/A,N/A,N/A,N/A,N/A,N/A,711,148,956,488,23,456,670,961,N/A,582,830,551,615,542,N/A,N/A,N/A,555,N/A,263,711
jonschlinkert,extend-shallow,885,876,135,911,771,N/A,N/A,N/A,N/A,N/A,N/A,710,711,955,576,71,285,773,960,N/A,881,900,596,N/A,N/A,N/A,N/A,N/A,N/A,N/A,262,710
json5,json5,270,428,44,909,N/A,N/A,420,429,430,379,N/A,549,182,222,80,889,492,288,152,N/A,623,213,228,407,327,N/A,402,N/A,244,389,243,549
isaacs,node-mkdirp,806,762,48,908,501,N/A,394,409,N/A,N/A,N/A,N/A,N/A,954,130,107,137,933,374,297,770,502,162,N/A,541,419,N/A,436,2,N/A,242,N/A
