owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
chalk,supports-color,31.3,28.6,13.8,41.8,41.1,4.6,6.6,7.1,,52.0,26.7,38.3,99.7,43.5,32.1,36.8,6.2,53.3,23.2,30.0
npm,node-semver,53.7,41.8,27.0,85.0,61.1,36.0,46.0,33.8,28.3,49.2,69.2,69.6,2.1,55.8,38.2,8.0,35.5,71.2,58.3,44.3
chalk,chalk,42.0,35.8,7.6,83.5,41.1,23.6,40.5,13.9,16.4,78.7,90.6,78.3,99.4,46.5,43.1,43.6,15.8,70.0,64.2,46.9
debug-js,debug,34.1,32.4,8.2,46.4,49.4,15.4,34.5,11.8,,80.2,80.9,79.8,100.0,60.2,40.3,47.1,,74.0,58.7,42.5
microsoft,tslib,39.3,19.5,30.3,57.7,49.8,33.3,40.3,29.2,30.2,56.4,49.4,45.6,94.3,36.5,45.8,50.1,31.3,56.0,42.8,43.7
vercel,ms,25.2,22.9,,39.1,38.6,12.8,25.5,12.8,,71.1,69.3,61.6,99.9,53.5,50.4,80.5,7.7,63.1,47.9,39.9
mozilla,source-map,42.5,14.1,11.4,71.8,72.5,9.9,23.0,6.7,,68.0,65.3,66.8,96.4,43.6,51.0,69.9,8.0,75.0,47.3,42.8
isaacs,node-lru-cache,49.3,32.3,23.7,54.7,86.7,20.4,32.3,19.3,9.5,52.8,69.9,66.6,26.4,48.3,35.7,46.4,22.1,38.7,52.3,39.6
chalk,strip-ansi,23.4,24.5,,28.2,40.9,5.9,17.6,,,46.6,28.7,23.0,99.1,35.6,27.6,42.4,5.0,35.4,19.2,25.9
nodejs,readable-stream,43.1,36.0,11.3,69.2,55.9,18.4,29.0,16.4,9.6,65.5,46.0,58.2,97.9,59.7,48.5,49.7,20.8,75.0,40.9,43.9
tj,commander.js,62.3,47.5,32.4,85.9,83.3,40.9,52.5,41.8,28.2,66.3,93.5,88.4,16.0,67.2,44.8,29.4,34.8,70.2,74.2,53.6
isaacs,minimatch,45.1,37.3,15.1,41.7,86.5,22.4,41.3,16.3,9.7,66.2,63.7,57.9,99.6,43.5,41.1,74.2,19.8,29.1,48.0,43.7
isaacs,node-glob,56.8,36.6,25.8,78.3,86.3,31.3,50.2,21.7,22.1,53.2,77.0,71.2,15.2,49.4,34.2,41.0,28.2,33.3,59.8,43.9
