owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
chalk,supports-color,29.1,19.3,13.8,42.0,41.2,4.6,6.6,7.1,,52.1,26.7,38.3,99.7,43.6,32.1,36.8,6.2,53.3,23.2,29.4
npm,node-semver,52.5,37.0,27.0,84.8,61.1,36.5,47.4,33.8,28.3,49.2,69.2,69.6,2.1,56.0,38.2,8.0,35.5,71.2,58.4,44.1
chalk,chalk,38.1,21.0,7.6,82.9,41.1,24.2,41.9,14.3,16.4,78.7,90.6,78.3,99.4,46.7,43.1,43.6,15.8,70.0,64.4,46.1
debug-js,debug,31.1,20.3,8.2,46.3,49.6,13.9,30.6,11.2,,80.3,80.9,79.8,100.0,60.4,40.3,47.0,,74.0,58.2,41.4
microsoft,tslib,39.8,20.9,30.3,58.2,49.8,33.0,39.3,29.4,30.2,56.5,49.4,45.6,94.3,36.5,45.8,50.0,31.3,56.0,42.7,43.7
vercel,ms,23.2,16.6,,37.6,38.6,12.9,25.5,13.2,,71.1,69.3,61.6,99.9,53.7,50.4,80.5,7.7,63.1,47.9,39.4
mozilla,source-map,39.5,2.2,11.4,71.8,72.5,9.9,23.0,6.7,,68.0,65.3,66.8,96.4,43.6,50.9,69.8,8.0,75.0,47.3,42.1
isaacs,node-lru-cache,46.6,21.2,23.7,54.7,86.7,20.4,32.3,19.4,9.5,52.8,69.9,66.6,26.4,48.3,35.7,46.3,22.1,38.7,52.3,38.9
chalk,strip-ansi,17.3,,,28.3,40.9,5.9,17.6,,,46.6,28.7,23.0,99.1,35.6,27.6,42.3,5.0,35.4,19.2,24.3
nodejs,readable-stream,39.4,21.2,11.3,69.3,55.9,18.5,29.0,16.9,9.6,65.5,46.0,58.2,97.9,59.9,48.5,49.6,20.8,75.0,40.9,43.0
