owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
chalk,supports-color,19.3,13.8,42.0,41.2,6.6,7.1,0.0,52.1,26.7,38.3,99.7,43.6,36.8,6.2,53.3,16.45,29.4,29.075,34.975,26.833333333333332,446.5,444.0,C,C
npm,node-semver,37.0,27.0,84.8,61.1,47.4,33.8,28.3,49.2,69.2,69.6,2.1,56.0,8.0,35.5,71.2,39.675000000000004,44.1,52.475,42.675,44.94166666666666,876.0,808.5,A,A
chalk,chalk,21.0,7.6,82.9,41.1,41.9,14.3,16.4,78.7,90.6,78.3,99.4,46.7,43.6,15.8,70.0,37.825,46.1,38.15,44.025000000000006,40.0,787.0,842.5,B,A
debug-js,debug,20.3,8.2,46.3,49.6,30.6,11.2,0.0,80.3,80.9,79.8,100.0,60.4,47.0,0.0,74.0,30.525,41.4,31.1,45.35,35.65833333333333,685.0,749.5,B,B
microsoft,tslib,20.9,30.3,58.2,49.8,39.3,29.4,30.2,56.5,49.4,45.6,94.3,36.5,50.0,31.3,56.0,38.85,43.7,39.8,43.45,40.7,807.0,800.0,A,A
vercel,ms,16.6,0.0,37.6,38.6,25.5,13.2,0.0,71.1,69.3,61.6,99.9,53.7,80.5,7.7,63.1,27.45,39.4,23.200000000000003,51.25,33.96666666666667,650.0,704.5,B,B
mozilla,source-map,2.2,11.4,71.8,72.5,23.0,6.7,0.0,68.0,65.3,66.8,96.4,43.6,69.8,8.0,75.0,24.425,42.1,39.475,49.1,37.666666666666664,730.0,759.5,B,B
isaacs,node-lru-cache,21.2,23.7,54.7,86.7,32.3,19.4,9.5,52.8,69.9,66.6,26.4,48.3,46.3,22.1,38.7,28.499999999999996,38.9,46.575,38.849999999999994,37.975,739.0,690.5,B,B
chalk,strip-ansi,0.0,0.0,28.3,40.9,17.6,0.0,0.0,46.6,28.7,23.0,99.1,35.6,42.3,5.0,35.4,16.05,24.3,17.3,29.574999999999996,20.974999999999998,211.0,275.0,D,D
nodejs,readable-stream,21.2,11.3,69.3,55.9,29.0,16.9,9.6,65.5,46.0,58.2,97.9,59.9,49.6,20.8,75.0,30.25,43.0,39.425,51.325,40.333333333333336,796.0,785.5,B,B
