owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
chalk,supports-color,29.1,19.3,13.8,42.0,41.2,4.6,6.6,7.1,0.0,52.1,26.7,38.3,99.7,43.6,32.1,36.8,6.2,53.3,23.2,29.4,54.866666666666674,17.14166666666667,29.075,34.975,27.063888888888886,443.0,C,444.0,C,-0.2563079815209979,C,-0.206128468659936,C
npm,node-semver,52.5,37.0,27.0,84.8,61.1,36.5,47.4,33.8,28.3,49.2,69.2,69.6,2.1,56.0,38.2,8.0,35.5,71.2,58.4,44.1,46.53333333333334,39.00833333333334,52.475,42.675,44.719444444444456,861.0,A,808.5,A,1.27695507474668,B,0.961940799795813,B
chalk,chalk,38.1,21.0,7.6,82.9,41.1,24.2,41.9,14.3,16.4,78.7,90.6,78.3,99.4,46.7,43.1,43.6,15.8,70.0,64.4,46.1,89.43333333333332,40.50833333333333,38.15,44.025000000000006,40.894444444444446,801.0,A,842.5,A,0.9447802433306013,B,1.120861788701357,B
debug-js,debug,31.1,20.3,8.2,46.3,49.6,13.9,30.6,11.2,0.0,80.3,80.9,79.8,100.0,60.4,40.3,47.0,0.0,74.0,58.2,41.4,86.86666666666667,32.16666666666667,31.1,45.35,36.205555555555556,687.0,B,749.5,B,0.5375826286389968,B,0.7473974647733284,B
microsoft,tslib,39.8,20.9,30.3,58.2,49.8,33.0,39.3,29.4,30.2,56.5,49.4,45.6,94.3,36.5,45.8,50.0,31.3,56.0,42.7,43.7,63.06666666666666,40.49166666666666,39.8,43.45,41.24722222222222,808.0,A,800.0,A,0.9754165567582277,B,0.9301566020147044,B
vercel,ms,23.2,16.6,0.0,37.6,38.6,12.9,25.5,13.2,0.0,71.1,69.3,61.6,99.9,53.7,50.4,80.5,7.7,63.1,47.9,39.4,76.93333333333334,28.908333333333335,23.200000000000003,51.25,34.452777777777776,654.0,B,704.5,B,0.38536598475842637,C,0.5884764758677843,B
mozilla,source-map,39.5,2.2,11.4,71.8,72.5,9.9,23.0,6.7,0.0,68.0,65.3,66.8,96.4,43.6,50.9,69.8,8.0,75.0,47.3,42.1,76.16666666666667,26.46666666666667,39.475,49.1,38.34722222222222,741.0,B,759.5,B,0.7235715865342733,B,0.803019810890269,B
isaacs,node-lru-cache,46.6,21.2,23.7,54.7,86.7,20.4,32.3,19.4,9.5,52.8,69.9,66.6,26.4,48.3,35.7,46.3,22.1,38.7,52.3,38.9,54.300000000000004,28.875,46.575,38.849999999999994,38.1,736.0,B,690.5,B,0.7021020440534957,B,0.5487462286413983,B
chalk,strip-ansi,17.3,0.0,0.0,28.3,40.9,5.9,17.6,0.0,0.0,46.6,28.7,23.0,99.1,35.6,27.6,42.3,5.0,35.4,19.2,24.3,50.23333333333333,16.958333333333332,17.3,29.574999999999996,21.277777777777775,215.0,D,275.0,D,-0.758791767896953,D,-0.6113769903690732,D
nodejs,readable-stream,39.4,21.2,11.3,69.3,55.9,18.5,29.0,16.9,9.6,65.5,46.0,58.2,97.9,59.9,48.5,49.6,20.8,75.0,40.9,43.0,67.33333333333333,30.70833333333333,39.425,51.325,40.48611111111111,792.0,B,785.5,B,0.9093193136151589,B,0.8745342558977637,B
tj,commander.js,59.2,35.1,32.4,85.9,83.3,40.7,51.9,41.9,28.2,66.3,93.5,88.4,16.1,67.3,44.8,29.4,34.8,70.2,74.2,52.7,66.16666666666667,47.041666666666664,59.175,50.425,52.21388888888888,983.0,A,942.5,A,1.9277958119729515,A,1.6453010520896527,A
isaacs,minimatch,40.9,20.4,15.1,41.6,86.5,22.1,40.7,15.8,9.7,66.2,63.7,57.9,99.6,43.5,41.1,74.2,19.8,29.1,47.9,42.5,73.7,34.974999999999994,40.9,41.650000000000006,39.175000000000004,755.0,B,768.0,B,0.7954583692227205,B,0.8348040086713777,B
isaacs,node-glob,53.6,23.7,25.8,78.3,86.3,31.3,49.6,22.1,22.1,53.2,77.0,71.2,15.2,49.4,34.2,41.0,28.2,33.3,59.8,43.0,52.86666666666667,36.666666666666664,53.525,37.975,42.72222222222222,831.0,A,785.5,B,1.1035101191997219,B,0.8745342558977637,B
sindresorhus,find-up,38.5,21.6,1.6,57.0,73.8,13.1,33.8,3.2,2.3,45.4,35.6,26.1,97.5,22.5,30.7,38.5,2.5,51.1,24.9,31.9,53.06666666666666,23.091666666666665,38.5,28.65,30.08055555555556,553.0,C,540.5,C,0.005668682907369087,C,-0.007477232528005924,C
sindresorhus,escape-string-regexp,27.3,0.0,0.0,34.0,75.3,9.2,27.6,0.0,0.0,47.8,35.8,28.2,98.9,28.1,26.8,43.2,0.0,37.0,24.4,27.8,54.23333333333334,20.458333333333336,27.325,27.075000000000003,24.95277777777778,365.0,D,394.0,D,-0.43964340045797584,C,-0.33326525978437105,C
feross,safe-buffer,31.3,19.2,0.0,40.0,66.0,9.5,28.5,0.0,0.0,40.7,27.1,24.1,99.5,12.0,19.5,35.1,0.0,23.4,20.2,25.3,50.13333333333333,19.65833333333333,31.3,17.625,22.86111111111111,278.0,D,309.0,D,-0.6212902036942191,D,-0.5319164959163012,D
uuidjs,uuid,41.0,32.2,18.8,82.7,30.3,27.0,42.6,21.3,17.1,76.4,85.1,79.4,94.9,46.2,55.5,85.1,28.2,53.0,63.8,50.0,86.46666666666665,41.86666666666666,41.00000000000001,53.125,45.330555555555556,873.0,A,901.5,A,1.3300258539126464,B,1.430757717067168,B
ajv-validator,ajv,41.5,34.5,21.6,88.2,21.9,21.0,44.0,16.7,2.4,75.9,83.8,78.8,96.3,44.5,39.1,47.3,15.1,54.9,61.2,44.4,86.33333333333333,37.358333333333334,41.550000000000004,40.449999999999996,39.786111111111104,777.0,B,812.5,A,0.848529148388687,B,0.9857789481316445,B
yargs,yargs-parser,26.2,19.2,11.2,39.2,35.3,14.1,32.2,9.9,0.0,51.1,33.0,46.6,94.0,30.8,40.7,50.1,8.7,63.5,31.2,33.0,57.800000000000004,24.975,26.225,38.275,29.825,547.0,C,563.5,C,-0.016524552016581307,C,0.07992931137004342,C
acornjs,acorn,17.4,22.4,16.6,7.6,22.8,35.2,50.6,27.9,27.1,72.5,79.6,78.2,96.2,36.0,49.1,42.7,26.6,78.0,64.3,43.5,84.66666666666667,47.56666666666666,17.35,45.825,36.913888888888884,704.0,B,798.0,B,0.5990964863086403,B,0.9142645031241498,B
yargs,yargs,41.9,29.3,28.3,74.8,35.2,32.0,48.9,22.9,24.2,76.8,80.7,81.5,94.5,50.4,49.6,42.9,27.2,78.6,64.7,50.1,85.56666666666666,45.391666666666666,41.900000000000006,49.775,45.68888888888889,880.0,A,903.5,A,1.3611446289690547,B,1.4387037665124451,B
