owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
chalk,supports-color,0.02,0.01,9.25,,1.28,,0.01,0.01,0.00,3.82,,0.13,5.00,0.00,0.63,0.13,6.33,0.00,0.00,0.00,2.13,0.00,6.76,0.04,0.02,,0.00,,10.00,10.00,0.00
npm,node-semver,0.22,0.06,0.00,0.00,1.03,0.56,1.29,1.22,0.27,0.35,0.23,0.53,8.70,2.86,1.35,3.11,5.29,0.00,0.00,0.04,1.47,0.06,8.46,0.03,0.20,0.22,0.28,0.04,8.10,10.00,7.89
chalk,chalk,0.97,0.11,9.12,0.42,1.39,,0.01,0.06,0.01,0.00,0.00,0.15,7.50,2.29,1.51,0.13,6.33,0.01,0.00,0.00,2.13,0.02,6.76,0.06,0.12,0.09,0.01,0.00,8.70,10.00,7.89
debug-js,debug,0.50,0.11,10.00,0.41,1.32,,0.00,0.96,0.00,0.01,0.01,0.23,5.00,0.00,1.59,0.00,9.13,0.03,0.00,0.00,2.79,0.02,7.91,0.09,0.11,,0.02,,4.60,3.33,7.37
microsoft,tslib,0.05,0.02,6.96,0.24,1.36,0.69,0.44,0.13,0.08,0.74,1.19,0.17,6.20,0.00,1.75,10.00,3.07,0.15,0.00,0.01,1.40,0.01,5.58,0.10,0.04,0.22,0.09,0.04,5.00,8.89,7.37
vercel,ms,0.22,0.04,9.92,0.24,1.32,,0.10,0.30,,,,0.15,6.20,0.00,0.71,1.32,3.05,1.50,0.22,0.00,1.84,0.01,7.73,0.05,0.04,,0.03,,2.00,,6.84
mozilla,source-map,0.16,0.05,7.68,0.22,1.32,,,0.00,0.00,2.50,0.00,0.10,6.20,3.43,0.87,10.00,5.95,0.22,0.09,0.00,1.99,0.04,8.18,,0.02,,0.00,,0.00,4.44,6.84
isaacs,node-lru-cache,0.23,0.05,0.00,0.17,1.36,,0.04,0.03,0.01,0.40,0.44,0.02,5.70,0.00,4.68,4.19,7.22,0.31,0.04,0.01,0.59,0.01,8.96,,0.10,0.04,0.01,0.03,8.50,10.00,6.84
chalk,strip-ansi,0.02,0.00,8.85,0.17,1.32,,,,,,,0.10,5.00,0.00,0.48,0.13,6.33,0.01,0.00,0.00,0.88,0.00,6.52,0.01,,,,,,,6.84
nodejs,readable-stream,0.05,0.03,7.92,0.13,1.21,,0.03,0.44,0.01,0.05,0.00,0.20,7.50,2.29,0.63,1.87,5.18,0.10,0.00,0.01,1.32,0.16,7.46,0.14,0.04,0.04,0.01,0.01,5.00,10.00,6.84
tj,commander.js,1.18,0.23,0.00,1.82,1.43,0.83,1.84,0.27,0.82,0.44,0.35,0.18,8.50,0.86,3.41,2.68,7.21,0.70,0.00,0.03,1.25,0.08,8.11,0.19,0.32,0.22,0.80,0.21,9.30,10.00,9.47
isaacs,minimatch,0.14,0.03,9.24,1.96,1.32,,0.17,0.08,0.00,0.01,0.44,0.02,4.20,0.00,2.78,4.19,7.22,0.46,0.13,0.00,0.44,0.01,8.17,,0.06,0.04,0.01,0.01,6.20,4.44,9.47
isaacs,node-glob,0.38,0.07,0.00,1.93,1.32,,0.15,0.05,0.01,0.49,0.72,0.05,5.70,1.14,3.25,4.19,7.22,0.20,0.04,0.01,0.29,0.02,9.34,,0.29,0.13,0.01,0.06,9.10,10.00,9.47
