owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_commit
chalk,supports-color,732,617,4,N/A,863,N/A,55,43,327,431,N/A,474,431,699,520,829,326,95,22,386,100,773,392,367,369,N/A,390,N/A,144,N/A
npm,node-semver,308,305,988,996,982,182,316,376,91,231,254,109,99,107,212,142,614,163,56,82,264,256,88,425,149,162,95,206,207,34
chalk,chalk,94,217,7,988,122,N/A,64,129,279,43,23,470,221,145,165,830,328,241,1,355,104,438,393,305,192,281,322,377,7,N/A
debug-js,debug,191,202,1,989,850,N/A,2,352,324,60,146,304,435,985,156,975,10,353,58,835,44,413,170,255,199,N/A,296,N/A,405,N/A
microsoft,tslib,506,543,58,990,203,87,192,166,170,332,371,393,307,984,130,49,935,499,59,184,276,542,654,246,305,143,180,212,252,N/A
vercel,ms,307,384,2,991,848,N/A,118,226,N/A,N/A,N/A,432,306,761,515,267,937,764,651,357,162,513,205,353,325,N/A,276,N/A,N/A,N/A
mozilla,source-map,347,332,37,992,847,N/A,N/A,2,443,423,28,730,335,73,368,51,479,531,598,349,126,304,127,N/A,401,N/A,398,N/A,393,N/A
isaacs,node-lru-cache,301,334,737,994,201,N/A,91,118,280,254,307,951,406,937,13,103,139,572,553,161,649,535,34,N/A,217,350,363,228,8,N/A
chalk,strip-ansi,713,770,10,993,811,N/A,N/A,N/A,N/A,N/A,N/A,720,449,936,731,825,327,230,48,411,480,780,439,478,N/A,N/A,N/A,N/A,N/A,N/A
nodejs,readable-stream,540,419,22,995,954,N/A,83,265,281,99,29,336,233,136,578,212,645,461,49,189,285,140,248,187,318,349,362,286,9,N/A
tj,commander.js,65,116,838,901,98,58,368,215,48,266,278,383,143,228,27,165,146,671,50,94,314,209,139,147,103,163,48,92,10,N/A
isaacs,minimatch,363,420,5,891,841,N/A,138,144,321,59,306,945,701,951,48,102,142,610,614,209,726,660,131,N/A,255,348,317,334,392,N/A
isaacs,node-glob,230,288,863,894,840,N/A,132,123,318,281,343,933,410,196,34,101,141,524,552,164,774,465,12,N/A,114,224,377,166,11,44
sindresorhus,find-up,644,740,26,893,839,N/A,123,162,N/A,N/A,N/A,547,147,950,147,6,418,127,53,490,114,797,714,463,400,422,N/A,380,N/A,N/A
sindresorhus,escape-string-regexp,642,720,12,895,838,N/A,N/A,N/A,N/A,N/A,N/A,716,138,949,853,2,419,253,54,993,505,697,541,537,N/A,N/A,N/A,N/A,N/A,N/A
feross,safe-buffer,729,761,6,892,853,N/A,3,9,N/A,N/A,N/A,686,700,948,108,266,390,4,55,724,628,847,760,N/A,538,N/A,N/A,N/A,N/A,N/A
uuidjs,uuid,149,206,52,896,852,N/A,250,157,207,228,170,305,173,211,63,965,397,895,706,114,576,295,76,N/A,270,274,221,333,282,N/A
ajv-validator,ajv,162,211,38,898,952,181,401,418,322,384,342,118,18,16,263,826,711,416,41,229,661,155,666,73,80,421,216,434,439,N/A
yargs,yargs-parser,670,533,61,897,199,N/A,100,111,442,440,N/A,153,770,947,73,865,414,520,42,334,161,506,766,249,404,N/A,323,N/A,430,N/A
acornjs,acorn,204,218,39,899,198,N/A,82,124,256,46,136,725,954,946,851,819,707,277,43,246,125,242,281,N/A,123,174,266,154,320,24
yargs,yargs,193,185,56,900,108,50,336,179,206,425,351,51,336,130,264,862,413,299,44,206,150,204,428,195,144,203,188,331,351,N/A
jprichardson,node-fs-extra,215,223,982,902,918,N/A,384,141,230,324,352,214,694,945,334,249,67,115,45,323,428,212,165,N/A,180,204,261,282,12,N/A
isaacs,rimraf,290,361,16,903,830,N/A,127,153,307,303,325,972,693,944,241,109,140,518,548,242,845,718,87,N/A,215,304,294,237,354,N/A
estools,estraverse,552,529,55,904,845,N/A,140,191,N/A,N/A,N/A,906,769,959,850,843,52,456,47,945,194,649,290,N/A,457,N/A,N/A,N/A,N/A,N/A
sindresorhus,camelcase,623,603,45,907,844,N/A,N/A,N/A,306,201,173,723,101,942,730,4,460,131,9,367,29,796,590,412,N/A,273,388,312,67,N/A
sindresorhus,path-exists,819,842,25,906,843,N/A,N/A,N/A,N/A,N/A,N/A,715,105,958,580,20,422,229,10,949,408,715,657,579,N/A,N/A,N/A,N/A,N/A,N/A
isaacs,inherits,721,626,3,905,679,N/A,N/A,N/A,N/A,N/A,N/A,946,401,957,922,108,145,717,692,380,785,875,104,N/A,N/A,420,511,435,N/A,N/A
npm,node-which,742,746,720,912,917,180,N/A,N/A,145,224,275,166,87,118,805,152,612,166,36,131,492,553,138,550,456,176,152,217,224,N/A
sindresorhus,resolve-from,825,857,40,910,681,N/A,N/A,N/A,N/A,N/A,N/A,713,146,956,517,7,463,330,37,950,582,830,551,615,542,N/A,N/A,N/A,N/A,N/A
jonschlinkert,extend-shallow,885,874,135,911,803,N/A,N/A,N/A,N/A,N/A,N/A,712,723,955,522,71,286,228,38,951,900,900,596,N/A,N/A,N/A,N/A,N/A,N/A,N/A
json5,json5,270,429,44,909,916,N/A,32,63,430,70,N/A,539,220,227,81,890,492,712,841,936,622,213,228,407,327,N/A,402,N/A,371,N/A
isaacs,node-mkdirp,806,762,48,908,836,N/A,58,83,N/A,N/A,N/A,N/A,N/A,954,128,104,138,16,622,297,764,502,162,N/A,541,419,N/A,436,N/A,N/A
sindresorhus,execa,269,433,66,925,11,82,191,114,58,88,164,431,109,739,132,53,426,142,31,64,617,385,751,286,198,114,60,78,66,N/A
ljharb,qs,231,249,17,916,119,N/A,38,56,334,172,242,228,100,284,365,188,819,257,32,167,112,522,553,N/A,261,264,310,276,372,N/A
nodeca,js-yaml,273,216,49,917,190,N/A,120,240,431,299,N/A,477,415,283,735,599,236,453,25,289,856,135,150,N/A,283,N/A,414,N/A,373,N/A
browserify,resolve,595,413,18,913,753,N/A,53,57,289,302,123,N/A,418,282,581,465,224,354,194,218,477,357,122,N/A,239,418,334,161,322,45
websockets,ws,96,87,71,928,915,187,146,108,191,311,218,378,445,281,107,923,345,316,57,251,60,289,164,120,113,191,225,147,44,N/A
nodeca,argparse,671,657,47,926,755,N/A,436,457,433,433,N/A,711,447,280,983,596,237,425,46,288,664,527,225,N/A,462,N/A,451,N/A,43,N/A
sindresorhus,pify,466,629,62,927,756,N/A,N/A,N/A,N/A,N/A,N/A,536,104,998,638,5,421,178,40,948,239,717,713,490,N/A,N/A,N/A,N/A,N/A,N/A
postcss,postcss,50,132,60,939,914,138,166,38,180,115,184,558,453,997,58,557,391,476,39,202,215,192,417,43,127,97,202,97,42,N/A
form-data,form-data,409,381,67,937,761,85,N/A,478,N/A,N/A,N/A,302,757,996,511,944,91,441,24,947,254,466,117,363,347,N/A,386,N/A,N/A,N/A
moxystudio,node-cross-spawn,528,651,978,940,766,N/A,N/A,N/A,N/A,N/A,N/A,541,876,995,452,431,848,955,854,946,691,628,542,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sindresorhus,slash,738,695,64,938,829,N/A,N/A,N/A,N/A,N/A,N/A,912,103,994,734,3,462,143,11,408,392,687,384,514,N/A,N/A,N/A,N/A,N/A,N/A
ashtuchkin,iconv-lite,372,386,15,942,837,N/A,72,94,N/A,N/A,27,916,746,993,370,573,412,457,26,944,586,414,163,N/A,289,N/A,385,N/A,N/A,N/A
micromatch,micromatch,391,498,32,941,913,N/A,1,12,N/A,N/A,142,914,98,992,5,737,484,105,27,478,835,464,603,451,328,417,447,398,N/A,N/A
sindresorhus,make-dir,673,775,59,943,652,N/A,44,45,283,71,152,726,102,799,524,50,461,324,28,376,368,707,869,488,409,266,384,379,41,N/A
sindresorhus,globby,399,508,69,944,197,N/A,434,350,331,415,15,479,144,815,220,52,453,125,29,329,41,563,537,281,273,265,446,306,40,N/A
broofa,mime,420,338,19,945,927,84,152,178,223,244,388,915,402,840,268,521,796,587,30,296,585,540,25,N/A,225,358,253,140,69,N/A
minimistjs,minimist,688,806,14,924,752,N/A,70,41,290,68,16,372,224,842,648,953,980,206,17,148,369,546,995,N/A,234,298,308,304,353,N/A
feross,buffer,453,415,107,931,66,N/A,N/A,474,229,327,97,904,748,856,91,269,389,194,18,319,467,415,432,N/A,252,125,258,246,26,N/A
jprichardson,node-jsonfile,508,383,977,930,859,N/A,N/A,N/A,N/A,N/A,N/A,903,750,897,801,247,65,162,19,938,204,643,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
visionmedia,bytes.js,683,716,976,933,860,N/A,N/A,N/A,N/A,N/A,N/A,365,875,921,802,757,20,250,20,506,163,626,234,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jshttp,http-errors,471,571,21,932,870,N/A,N/A,N/A,N/A,N/A,N/A,209,874,999,447,722,109,274,21,395,229,820,568,N/A,463,N/A,450,N/A,N/A,N/A
isaacs,node-graceful-fs,500,515,865,929,861,N/A,108,72,N/A,N/A,N/A,950,741,291,367,111,134,682,649,440,412,562,132,N/A,407,N/A,449,N/A,N/A,N/A
webpack,loader-utils,596,503,92,919,869,N/A,441,467,284,335,98,478,424,967,649,586,218,746,625,419,122,461,296,306,368,297,335,360,326,12
caolan,async,53,81,68,935,925,140,304,169,143,359,368,308,738,975,984,283,88,860,730,217,484,75,37,480,322,138,156,167,25,N/A
thlorenz,convert-source-map,809,698,57,936,924,N/A,N/A,N/A,330,304,N/A,913,754,295,98,97,329,150,95,491,98,817,333,N/A,N/A,357,445,444,47,N/A
cosmiconfig,cosmiconfig,334,538,81,947,728,N/A,248,224,228,159,248,371,416,78,49,984,349,822,93,225,269,279,738,464,164,198,247,107,46,39
dougwilson,nodejs-depd,739,621,20,946,833,N/A,N/A,N/A,N/A,N/A,N/A,570,752,943,225,704,15,322,75,992,919,917,536,377,555,N/A,N/A,N/A,N/A,N/A
facebook,regenerator,331,171,668,958,834,142,396,78,126,381,361,572,223,85,985,289,751,653,12,215,301,376,420,262,371,164,130,156,264,N/A
