owner,repo,stars,forks,issue_closed_rate,issue_time_to_close,issue_time_to_response,issue_monthly,issue_participants,labeled_issues,pulls_closed_rate,pulls_time_to_close,pulls_time_to_response,pulls_monthly,pulls_participants,pulls_merged_rate,issues_average_comments,pulls_average_comments,code_review_score,maintained_score,vulnerabilities,issue_per_participants,pulls_per_participants,open_issues,dependent_repositories,dependent_packages,commits_with_vertification_rate,commits_avg_msg_length,commits_author_count,commits_committer_count,issue_commented_rate,readme_headers_num,watchers,network_count,subscribers_count,comments_avg_length,pulls_last_90days,commmits_last_90days,health_percentage,projects_owned_by_maintainer,age_of_other_projects,workflow_runs_count,contributors_per_code_file,files_with_more_than_1_contributors,labels,releases,time_since_created,created_time,pull_authors_dec,pull_authors_jan,pull_difference,pull_authors_2024,Usage_Popularity,outdated_dependencies,headings_count
chalk,supports-color,0.02,0.01,9.70,0.81,0.15,0.02,0.44,0.22,10.00,0.41,0.11,0.04,1.06,6.00,3.38,4.76,4.55,3.00,0.00,2.65,3.00,0.00,9.25,0.14,1.00,0.06,0.22,0.11,9.30,0.63,0.02,0.01,0.02,0.85,0.02,0.02,5.00,0.13,6.33,0.00,2.13,0.00,0.13,0.04,,6.76,0.00,,0.68,0.00,9.24,0.00,0.00
npm,node-semver,0.22,0.06,8.90,1.11,1.09,0.10,2.27,1.74,10.00,1.35,0.21,0.12,2.98,4.00,2.35,3.17,10.00,10.00,0.00,2.65,2.00,0.07,0.00,0.00,3.00,0.18,0.48,0.23,8.60,1.35,0.22,0.06,0.15,0.87,0.28,0.14,8.70,3.11,5.29,0.04,1.46,0.06,0.53,0.03,,8.46,0.54,0.14,0.68,0.35,0.00,0.00,2.86
chalk,chalk,0.97,0.11,9.90,0.32,0.07,0.13,2.55,1.70,10.00,0.23,0.04,0.08,2.61,6.00,3.16,4.63,4.55,2.00,0.00,2.65,3.00,0.01,9.12,4.54,1.00,0.08,0.35,0.24,9.60,1.51,0.97,0.11,0.22,0.82,0.02,0.02,7.50,0.13,6.33,0.00,2.11,0.02,0.15,0.06,,6.76,,0.14,1.10,0.09,9.12,0.01,2.29
debug-js,debug,0.50,0.11,9.00,0.47,0.62,0.26,4.20,3.22,9.00,1.10,0.35,0.12,5.87,5.00,2.43,4.51,3.64,4.00,0.00,3.24,4.00,0.13,10.00,1.63,0.00,0.12,0.64,0.86,9.00,1.59,0.50,0.11,0.20,0.90,,,5.00,0.00,9.13,0.00,2.83,0.02,0.23,0.09,,7.91,,,0.82,,10.00,0.03,0.00
microsoft,tslib,0.05,0.02,6.50,1.39,0.76,0.04,1.23,0.32,9.00,0.72,0.39,0.08,1.87,7.00,3.01,2.68,7.27,0.00,0.00,5.29,2.50,0.09,6.96,5.12,4.00,0.12,0.24,0.29,8.30,1.75,0.05,0.02,0.11,0.91,0.18,0.08,6.20,10.00,3.07,0.01,1.40,0.01,0.17,0.10,,5.58,0.00,0.00,0.82,0.00,6.95,0.15,0.00
vercel,ms,0.22,0.04,7.60,2.61,4.16,0.02,0.72,0.18,9.00,1.72,1.50,0.06,1.59,5.00,1.84,2.20,6.36,0.00,0.22,3.82,3.00,0.06,9.92,0.19,1.00,0.08,0.23,0.31,8.20,0.71,0.22,0.04,0.13,0.60,0.00,,6.20,1.32,3.05,0.00,1.81,0.01,0.15,0.05,,7.73,,,0.82,0.00,9.92,1.50,0.00
mozilla,source-map,0.16,0.05,8.20,2.38,1.65,0.07,1.87,0.62,9.00,0.44,0.05,0.12,2.52,8.00,2.72,3.17,10.00,0.00,0.09,3.24,2.00,0.11,7.68,0.21,1.00,0.16,0.50,0.95,8.80,0.87,0.16,0.05,0.10,1.19,,,6.20,10.00,5.95,0.00,2.00,0.04,0.10,,,8.18,,,0.82,,7.68,0.22,3.43
isaacs,node-lru-cache,0.23,0.05,9.80,1.99,2.06,0.08,1.30,0.14,10.00,2.24,0.42,0.05,1.39,2.00,2.28,2.07,0.91,5.00,0.04,2.65,2.50,0.01,0.00,0.00,6.00,0.12,0.26,0.15,8.80,4.68,0.23,0.05,0.08,1.39,0.00,0.04,5.70,4.19,7.22,0.01,0.56,0.01,0.02,,,8.96,,0.00,0.96,0.00,0.00,0.31,0.00
chalk,strip-ansi,0.02,0.00,9.60,0.03,0.00,0.01,0.12,0.04,10.00,0.12,0.01,0.03,0.30,3.00,1.54,1.59,2.73,0.00,0.00,2.06,3.00,0.00,8.85,0.25,1.00,0.04,0.06,0.10,9.10,0.48,0.02,0.00,0.02,0.62,,,5.00,0.13,6.33,0.00,0.87,0.00,0.10,0.01,,6.52,,,0.82,,8.84,0.01,0.00
nodejs,readable-stream,0.05,0.03,9.60,1.44,0.25,0.11,1.87,0.32,10.00,0.53,0.14,0.09,2.75,6.00,4.49,5.85,5.45,6.00,0.00,2.65,2.50,0.02,7.92,0.18,2.00,0.09,0.32,0.24,9.50,0.63,0.05,0.03,0.08,0.94,0.04,0.10,7.50,1.87,5.18,0.01,1.32,0.16,0.20,0.14,,7.46,0.00,,0.68,,7.91,0.10,2.29
