owner,repo,maintenance,contribution,popularity,code_quality,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,stars_and_watches,forks,project_maturity,downstream_dependents,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
chalk,supports-color,4.16125,0.0022222222222222,3.17,3.9266666666666654,9.993333333333334,1.545,1.8766666666666667,3.23,0.0066666666666666,,,0.02,0.01,3.4,9.25,9.75,,2.03,0.0107407407407407
npm,node-semver,5.491458333333333,1.05,1.13125,2.802222222222223,8.530000000000001,4.932499999999999,4.303333333333333,4.2,2.77,0.16,0.22,0.22,0.06,4.245,,6.666666666666667,0.15,1.59,0.4433333333333333
chalk,chalk,5.385624999999999,0.9316666666666664,3.4025,3.929444444444444,9.543333333333331,5.0025,3.766666666666667,3.23,2.7,0.005,0.09,0.97,0.11,3.41,9.12,9.703333333333331,0.045,2.04,0.6705555555555555
debug-js,debug,4.909166666666667,0.8344444444444444,3.6525,4.166666666666667,7.88,4.995,2.1966666666666668,4.565,2.4933333333333336,0.01,,0.5,0.11,4.0,10.0,9.99,,2.51,0.4814814814814814
microsoft,tslib,5.468958333333333,0.9427777777777778,2.4675,3.522222222222222,8.143333333333333,4.547499999999999,2.65,6.535,2.543333333333333,0.065,0.22,0.05,0.02,2.84,6.96,8.936666666666666,0.115,1.515,0.3375925925925926
vercel,ms,2.9220833333333336,0.7694444444444445,3.5175,3.7433333333333336,7.2,,2.303333333333333,2.185,2.293333333333333,0.015,,0.22,0.04,3.89,9.92,9.4,,1.83,0.3431481481481481
mozilla,source-map,4.795833333333333,0.7622222222222222,2.995,3.689444444444444,3.333333333333333,4.375,3.5,7.975,2.286666666666666,,,0.16,0.05,4.09,7.68,9.123333333333331,,1.945,0.3240740740740741
isaacs,node-lru-cache,5.860416666666668,0.7955555555555556,1.1900000000000002,2.5083333333333333,9.476666666666668,4.800000000000001,3.4599999999999995,5.705,2.3266666666666667,0.02,0.04,0.23,0.05,4.48,,6.55,0.03,0.945,0.3585185185185185
chalk,strip-ansi,1.2641666666666669,0.7599999999999999,3.03375,3.586111111111111,,,1.8266666666666669,3.23,2.28,,,0.02,,3.265,8.85,9.613333333333332,,1.145,
nodejs,readable-stream,5.041875,0.7855555555555555,2.95,3.612777777777778,8.176666666666668,4.992500000000001,3.473333333333334,3.525,2.306666666666666,0.01,0.04,0.05,0.03,3.8,7.92,9.273333333333332,0.025,1.54,0.2885185185185185
